user,adl_notional,closed_pnl,leverage_realtime,pnl_percent,account_value_realtime,is_negative_equity,num_adl_events
0x00000000051cbce3fd04148cce2c0adc7c651829,7240.000000000001,2300.34,0.71225074896698,31.77348066298341,10164.959476,False,1
0x0000000020b888feabe8f1438e49c8a898292abc,1703.9044,294.88888,2.0959633615086006,17.30665640631012,812.9456990000003,False,1
0x000000209e0a892842bc06c354e7d097392cbbbb,134772.166555,102756.292615,0.06738591875526938,74.80587056628703,343839.71936799993,False,6
0x0000b09e038a1b564e69b4f9b59c1caf550373a6,904.706998,1029.629774,0.06037499335172827,115.98084874443605,7492.398324,False,2
0x00078e1c3fa91644a5d9b492dd775822c6b79767,409.42249999999996,57.68481,2.5489481817911788,14.089311163895488,160.624097,False,1
0x0007e716d97d26ea49b2dbcdefe103e2eaac0122,121.37627800000001,96.43109799999999,0.1909522585584318,86.59219809495329,317.818388,False,2
0x000a62bfb3069784a12f12112941821d828ef00b,164.24099999999999,25.758495,0.3109191692073058,15.682137834036572,528.243403,False,1
0x000eaaf8cac10984ee010cd1a88db00d76814389,5281.218,1421.26038,2.1037701844821783,26.91160220994474,2510.3588019999997,False,1
0x000f887799b85fbc7fef02999e2668b07339fbf6,512.3947800000001,527.55996,0.15943424491743652,198.83464801261965,1606.915692,False,2
0x001080fe5db64bf8878d7bca1333ccbf269732e0,159.37152,19.29228,5.132637495129322,12.105224321133411,31.050609,False,1
0x0011b67bb41abc4c95b94ef937e1a90030641172,93.75870800000001,21.797245,0.7780660231976414,30.12425263877622,60.251125999999985,False,2
0x001452cb950881f258b17c515fb8d323cc5cc10c,68.69940000000001,3.810774,2.044594026834534,5.54808338937457,33.600509,False,1
0x0015fb45c80dadae4142901208975005e9b2eedc,194.9025,310.30935,0.2362813756153848,159.20960480240123,824.8745779999999,False,1
0x00162e5bdc7f5fa5ea5f44d1928fcdd08dd2e098,38.57933,0.60205,19.624390991324653,3.6309776991362153,1.063819,False,2
0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,487629.71400000004,318869.02929000003,0.19756261477254505,104.11992361517166,1234114.3453719998,False,2
0x001b03345988f4a94c791fa2d3bcf34528333283,660.5284,234.15767499999998,0.16070226829252648,35.51705972484773,2055.130917,False,2
0x001c7fed2e6181ffdca18a42e48f92bf61507f2c,146.89836,300.97476,0.14365614580189384,204.88639900404607,1022.5692689999998,False,1
0x00236feeac26ef92552e3981096350d136084c64,3551.1632,21332.840932,0.06833745460565863,600.7336956521739,59631.252342,False,1
0x002479c9acacf25b14593c2f09c503a88dc3c4ff,9.45611,17.991959,0.004478435886800296,187.18915392814364,1055.7380119999998,False,2
0x0024d9b8292dade3d157658b09534b0a3d046aa5,17.376,2.7444,1.2360184130892182,15.795580110497227,14.058043000000007,False,1
0x0028d5c95a9be5b59de344027d805eb73a193c87,0.34664,0.140194,0.5438863775792788,40.44253404108007,0.637339,False,1
0x0030a54224df51cd2ccfaf004134e8cddc23267e,219513.904,64933.668144,1.402630131077075,29.580110497237566,156501.63156800004,False,1
0x0030eca971ff0e25bbdb5008b810b702a383dbd2,74.59744,47.199082000000004,0.12373790470235434,85.4651142788103,301.43326,False,2
0x0037617891f6fb6ae48cd1bf9322b1abd8fc96c4,693.8624,105.792,1.8046747969240051,15.246827036599765,384.48057299999994,False,1
0x003bdb21b599fc1a786bd80e9f044bd00d06d6b7,11.02024,9.12956,0.07298755409157397,82.84356783518328,150.987934,False,1
0x003e11c8fa367ab8b287cb3a1e5562dda6be84ac,12.15448,5.2607,0.0,43.281983268720666,-0.0011640000000099349,False,1
0x003fe99779991d967e232b53d28257f3bf00e75e,663.106368,396.295296,0.17668832417856795,75.0109934046379,1250.990732,False,3
0x0041287043b3c221b19eed8fbfb3bc6b3da03ba4,112.029848,15.546743,0.0,0.0,34.633797999983415,True,1
0x00426ffdb4ffd2a3333ee0f4172f335f05f8cab8,19.51488,2.79036,5.837748191827522,14.29862750885478,3.342878,False,1
0x00452c115098d6d627a9627975e21fc28a3639f3,3.661364,6.607896,0.29005325564492,180.47634706628457,12.623075000000004,False,1
0x00489ddbf5aa399ee576c066a25cc908e038721f,21.014400000000002,9.05376,0.09286453687948507,43.083599817268144,226.29090399999987,True,1
0x004a33648733a189e3a698bfb7cc2dbecbbf41bb,1732.0,583.9849999999999,0.0,33.7146998817513,-0.3381920000003902,True,2
0x005110f17139e63b2d624e4c040c861af4c12519,296.35255,702.66365,0.0013753847269503887,237.10396620511617,215468.83878600007,False,1
0x0058962144b9ae405ee629b930262c97daa66826,279.2088,334.854,0.15320743161353653,119.92960107274556,1822.4233450000002,False,1
0x0059ea294083326b8d8a269ffee1b2edd1a62e09,23.27714,4.55332,1.975600542202629,19.561337861953845,11.782311,False,1
0x005b12f5b7c22b497528fa0a6bc81510748fb58e,959.1528800000001,285.99712,0.6490196180925341,29.817678282944836,1477.8488249999998,False,1
0x005ca196d49e54695b009289585e83177075e5b4,100.30965,298.43895,0.28356381395367247,297.51768648380295,353.74629999999996,False,1
0x005dcf56c975469f3f1d92b5cea28ef1408c81b4,9305.34528,716.714832,0.0,0.0,747.200016,False,1
0x005e26458a139267bbb194a9e049ad9df0a4d5f2,239.12539,408.57870199999996,0.005866481516335505,167.38320902221813,20380.648037,False,2
0x00626cdf7e383067dfbd9a77fd712f78acc861ee,162401.093,41712.2209,0.6870919091100692,25.685184273975292,236360.071843,False,1
0x0067fb4c4c36ecdc85702d94ec2776868e812d86,103.96000000000001,12.6411,2.879505598084614,12.146979607541361,36.10342,False,1
