ticker,net_volume,net_notional_usd,total_pnl,num_adl_events,avg_price
XLM,1702199.0,413641.16369,239474.244458,47,0.24522489361702127
2Z,1770322.0,365828.83953999996,301099.557002,63,0.2089936507936508
SYRUP,1340307.0,360704.47511999996,274663.21901299997,24,0.26519208333333333
FXS,415585.6,313879.023634,651013.699408,58,0.9253829310344828
VVV,179342.81,261148.280914,391165.134802,10,1.4543199999999998
RENDER,241969.3,257773.53597099998,606215.481308,941,1.0637614558979809
ETC,20675.23,256652.95745000002,156142.938684,6,12.141166666666665
PROMPT,3348873.0,255701.227073,275556.783041,47,0.078794
STX,601926.3,227644.459827,142142.988529,80,0.295772625
SOPH,11092722.0,225827.917176,103677.54819,24,0.020791124999999997
ZEN,23574.39,207004.527349,101656.205956,43,9.187990697674419
MET,166091.0,184218.74578,89999.433651,140,1.1459127142857142
SKY,4012353.0,178183.028376,101657.180115,15,0.046043799999999996
ETHFI,208567.6,158062.177823,159578.188528,30,0.6018916666666667
OP,416522.3,135346.226969,168115.07683,48,0.34898083333333335
MELANIA,1504922.1,134891.48423899998,168148.09817800001,117,0.10223273504273504
KAS,5661506.0,131489.70342,319527.590693,18,0.025341666666666665
AR,89399.64,116720.24777200002,418015.782684,35,1.5242114285714286
FIL,137838.2,115479.402533,196361.23171700002,72,0.8826618055555555
BRETT,6930751.0,113603.130232,194964.592362,13,0.01901469230769231
RESOLV,2808565.0,106572.01792000001,382817.315201,26,0.03793723076923077
OM,1781705.4,105651.757421,208824.76152,22,0.0663959090909091
FET,452177.0,100114.50121,178247.550264,31,0.2562977419354839
MEME,83882287.0,94118.89417300001,106096.59077899999,34,0.0011895294117647058
TIA,229723.7,91794.06842,260314.39005699998,65,0.44741892307692305
BIO,1996975.0,89759.891864,211015.346437,26,0.044333
SAND,656428.0,84976.62687000001,92967.903899,32,0.14555
POL,501523.0,79833.51589,40041.167854,35,0.16020142857142855
kSHIB,10352053.0,79633.43028,51458.597268,15,0.0079118
SUPER,309081.0,77922.06165,109367.483186,33,0.2497409090909091
NIL,290588.0,72000.2505,23395.988277,24,0.24783333333333335
ORDI,22546.6,67581.133511,119246.08866,32,3.053425
kFLOKI,1656467.0,67190.271572,95473.225636,23,0.04209826086956522
GRIFFAIN,4283688.0,61658.52183500001,118028.832633,24,0.015885125
INIT,413081.0,56916.60914,125466.207502,14,0.1391557142857143
PNUT,662146.6,54250.393670000005,103546.384209,16,0.0792325
COMP,2056.7799999999997,51514.111880000004,46300.071154000005,8,25.046
BANANA,5380.4,46655.48736,49291.38346,25,8.593520000000002
AIXBT,1438571.0,44869.082736,114287.501686,36,0.031253055555555555
ALGO,361785.0,43681.9209,32847.976917,12,0.12074
AI16Z,1627598.7,41684.325888,147554.337916,44,0.027958863636363632
SUSHI,129212.9,38669.487654,55790.137885,17,0.3005617647058823
BOME,61098885.0,37621.194703,60385.713259,37,0.0006115675675675675
MOVE,746264.0,37259.453038,58996.962716,20,0.05147235
DOOD,5040170.0,35870.71058,10577.325139,20,0.00711005
ME,132500.59999999998,35636.880636999995,54216.664603000005,6,0.26192499999999996
NXPC,108917.0,35628.44364,24959.848953,21,0.3107628571428571
APE,186768.2,35430.153758,76159.127965,22,0.1959754545454545
GMX,4720.02,33883.261167,-6705.651132999999,24,7.389666666666667
kNEIRO,295259.8,32835.591395,50951.560201,11,0.10802181818181818
MINA,313280.0,28150.883919000004,23198.732677,5,0.0864618
JTO,49418.0,27961.43271,47917.108651,6,0.518145
PYTH,486539.0,27470.287779,59678.467724,21,0.05820252380952381
MOODENG,316242.0,25068.942815000002,29741.423357,6,0.08078983333333334
CFX,353684.0,23977.062469999997,26851.456453,4,0.06921125
BABY,1303520.0,23747.275238000002,41516.037048,36,0.019787111111111113
