coin,adl_notional,closed_pnl,leverage_realtime,pnl_percent,is_negative_equity,num_users,num_events
FET,100114.50121,178247.550264,614.2004340574108,142.6918311099915,2,26,31
FIL,115479.402533,196361.23171700002,0.16264456446680128,178.85110708895516,1,67,72
FXS,313879.023634,651013.699408,0.02172233859843967,174.53176198080146,1,53,58
GALA,3128.563586,9115.518316,0.0302025121850381,105.46229326725431,1,3,3
GAS,1453.2655,920.6692580000001,0.07912635581683491,67.10258319338195,0,5,5
GMT,9397.5968,6558.255896,0.5333332595189317,123.99844095898348,1,16,16
GMX,33883.261167,-6705.651132999999,283.54407878133117,7.16255921470924,4,20,24
GOAT,10043.877584000002,-46526.140994,3.358814214830476,-622.0851761575361,13,19,19
GRASS,710149.725479,1522595.235126,0.14520892045330244,286.06075452177583,0,122,132
GRIFFAIN,61658.52183500001,118028.832633,0.1966383814737274,187.569428423456,2,17,24
HBAR,4056956.41676,1457451.3973579998,3.826540906076718,57.50076742638926,6,183,186
HYPE,189932888.08489,51665287.384261996,65.67786244458458,37.19898734623845,86,6208,6229
HYPER,50.02,-63.351475,1.459745548327197,-131.64754098360655,1,3,3
IMX,14740.892064,22395.877544000003,0.10217189864533466,130.94880600954932,1,13,15
INIT,56916.60914,125466.207502,0.9171411084140748,195.19579444932245,2,13,14
INJ,799581.48114,1275284.724325,0.018047060238010414,171.18288082061483,4,987,999
IO,723513.01494,658774.277523,14.882684412122048,130.12242755298675,1,50,56
IP,9347849.66935,6369495.382761001,18.075374422337784,56.95170016913464,14,264,270
JTO,27961.43271,47917.108651,0.3077251297708789,152.26017098778246,1,5,6
JUP,2275257.2574299998,3119451.467364,0.11992694225622419,155.24188817952754,5,107,137
KAITO,19.3704,7.8648,0.07742744415127625,40.60215586668319,0,1,1
KAS,131489.70342,319527.590693,0.030907978035207687,210.7917895950807,0,17,18
LAUNCHCOIN,3659160.473367,2243619.386583,0.33429340111760664,56.521325264509784,7,146,155
LAYER,6044.351350000001,23854.110374,0.6717935541228388,484.4626315067847,2,12,12
LDO,4480696.559335,2296570.451282,212.87733288580623,77.63276925775178,10,82,97
LINEA,5370777.307668,3724050.296731,100.25956011724692,64.91434871225178,11,177,186
LINK,21522160.54814,12555115.806037998,13448.528697864085,45.060298957272586,13,214,259
LTC,21130168.38951,6682416.911701,269.6591120875378,30.8047200744911,7,176,197
MANTA,8420.423952,8502.984105,0.5666438584659269,-275.95546840454125,6,24,24
MAV,1923.641791,3157.449487,0.030127411512242148,231.4206088258176,0,14,15
ME,35636.880636999995,54216.664603000005,0.1111748791202291,85.65126773995115,1,5,6
MELANIA,134891.48423899998,168148.09817800001,76.12086468574888,202.2277389502579,2,115,117
MEME,94118.89417300001,106096.59077899999,0.10924710200342282,128.61779428508837,0,33,34
MET,184218.74578,89999.433651,0.32725345416433627,44.94940418381561,14,82,140
MINA,28150.883919000004,23198.732677,0.037224681914131696,173.03412000682667,0,5,5
MNT,10115187.861370001,5580602.295423001,35057.23221407748,39.25559702039183,13,189,211
MOODENG,25068.942815000002,29741.423357,0.26443684413721996,128.45963293838165,0,4,6
MORPHO,867112.939317,908404.58524,0.07157097719491001,78.90952397369028,1,71,73
